gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,deg_source
dgcz,lrp,+,ecocyc_28,yes,no,no,emani_up
dgcz,hns,-,ecocyc_28,yes,no,no,emani_up
dicb,dica,-,ecocyc_28,no,no,no,bie_up
emry,fnr,+,ecocyc_28,yes,no,no,bie_up
emry,evga,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
fadb,fadr,-,ecocyc_28,no,no,no,emani_up
fadb,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,emani_up
fadb,rob,-,ecocyc_28,yes,no,no,emani_up
fadb,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
fade,ompr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
fade,fadr,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
fade,pdhr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
fade,cpxr,-,ecocyc_28,yes,no,no,emani_up
fade,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
fade,lldr,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
fepe,fnr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
fepe,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
fepe,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
fepe,hns,+,ecocyc_28,yes,no,no,bie_up
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,emani_up
fima,qseb,+,ecocyc_28,no,no,no,emani_up
fima,hns,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
flia,nsrr,-,ecocyc_28,yes,no,no,bie_up
flia,sutr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
flia,zrar,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
flia,lrp,±,ecocyc_28,yes,no,no,bie_up
flia,csgd,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
flia,hns,+,ecocyc_28,yes,no,no,bie_up
flia,ihf,-,regdb_13,no,no,yes,bie_up
flia,flhdc,+,regdb_13,no,no,no,bie_up
fliq,flhdc,+,regdb_13,no,no,no,bie_up
gard,fnr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
garl,fnr,+,ecocyc_28,yes,no,no,bie_up
garl,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
garl,hns,-,ecocyc_28,yes,no,no,bie_up
garp,fnr,+,ecocyc_28,yes,no,no,bie_up
garp,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
garp,hns,-,ecocyc_28,yes,no,no,bie_up
garr,fnr,+,ecocyc_28,yes,no,no,bie_up
garr,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
garr,hns,-,ecocyc_28,yes,no,no,bie_up
gfca,yjjq,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
glnx,fis,+,ecocyc_28,yes,no,yes,bie_up
gltw,nhar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
gltw,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
gltw,hns,±,ecocyc_28,yes,no,no,bie_up
gltw,lrp,±,ecocyc_28,yes,no,no,bie_up
glyu,fis,+,ecocyc_28,yes,no,yes,bie_up
gspa,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
gspj,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
gspj,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
gspj,slya,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
hisg,cra,±,ecocyc_28,yes,no,no,emani_up
hisl,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
htre,glar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
htre,lrp,+,ecocyc_28,yes,no,no,bie_up
htre,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ibpb,lrp,+,ecocyc_28,yes,no,no,bie_up
ilvm,lrp,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ilvm,ihf,±,regdb_13,no,no,yes,bie_up
insk,lexa,-,ecocyc_28,yes,no,no,bie_up
insk,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
iram,fnr,+,ecocyc_28,yes,no,no,bie_up
iram,phop,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
iram,arca,+,ecocyc_28,yes,no,no,bie_up
isrc,oxyr,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
kbay,agar,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
kbay,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
kbaz,agar,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
kbaz,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
kdpf,kdpe,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
lacz,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
lacz,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
lacz,laci,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
lacz,mara,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
leuq,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
leuv,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
leux,fis,+,ecocyc_28,yes,no,yes,bie_up
malx,mali,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
malx,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
mara,rob,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up-emani_up
mara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up-emani_up
mara,acrr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
mara,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up-emani_up
mara,mara,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up-emani_up
mara,cra,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up-emani_up
mara,marr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
mara,soxs,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up-emani_up
mara,crp,+,ecocyc_28,yes,no,no,bie_up-emani_up
marb,rob,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marb,acrr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
marb,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
marb,mara,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marb,cra,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marb,marr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
marb,soxs,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marb,crp,+,ecocyc_28,yes,no,no,bie_up
marr,rob,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,acrr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
marr,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
marr,mara,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,cra,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,marr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
marr,soxs,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
marr,crp,+,ecocyc_28,yes,no,no,bie_up
mdti,acrr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
mdti,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
metv,fnr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
mgrb,phop,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
mgrr,phop,+,ecocyc_28,no,no,no,bie_up
mgta,phop,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
mgta,zrar,+,ecocyc_28,no,no,no,emani_up
mgtl,phop,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
micc,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
nanc,nagc,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
nanc,nanr,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
nanc,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
norv,narp,-,ecocyc_28,yes,no,no,emani_up
norv,fnr,-,ecocyc_28,yes,no,no,emani_up
norv,narl,-,ecocyc_28,yes,no,no,emani_up
norv,norr,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
norv,ihf,±,regdb_13,no,no,yes,emani_up
norw,narp,-,ecocyc_28,yes,no,no,emani_up
norw,fnr,-,ecocyc_28,yes,no,no,emani_up
norw,narl,-,ecocyc_28,yes,no,no,emani_up
norw,norr,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
norw,ihf,±,regdb_13,no,no,yes,emani_up
nupg,cytr,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
nupg,deor,-,ecocyc_28,no,no,no,emani_up
nupg,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
ompg,ycjw,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
oxys,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
pagp,phop,+,ecocyc_28,no,no,no,emani_up
pagp,slya,+,ecocyc_28,yes,no,no,emani_up
pagp,hns,-,ecocyc_28,yes,no,no,emani_up
phng,phob,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
pinq,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
pinr,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
prom,fis,+,ecocyc_28,yes,no,yes,bie_up
prow,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
prow,stpa,-,ecocyc_28,no,no,no,bie_up
prow,ihf,+,regdb_13,no,no,yes,bie_up
pspa,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
pspa,ihf,+,regdb_13,no,no,yes,bie_up-emani_up
pspb,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
pspb,ihf,+,regdb_13,no,no,yes,bie_up-emani_up
pspc,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
pspc,ihf,+,regdb_13,no,no,yes,bie_up-emani_up
pspd,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
pspd,ihf,+,regdb_13,no,no,yes,emani_up
pspe,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
pspe,ihf,+,regdb_13,no,no,yes,emani_up
pspg,lrp,+,ecocyc_28,yes,no,no,emani_up
pspg,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
rcsa,hns,-,ecocyc_28,yes,no,no,bie_up
rcsa,rcsb,+,ecocyc_28,yes,no,no,bie_up
rcsa,gade,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rcsa,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rrld,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
rrld,hns,±,ecocyc_28,yes,no,no,bie_up
rrld,nhar,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rrld,lrp,±,ecocyc_28,yes,no,no,bie_up
rrsd,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
rrsd,hns,±,ecocyc_28,yes,no,no,bie_up
rrsd,nhar,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rrsd,lrp,±,ecocyc_28,yes,no,no,bie_up
rrsg,nhar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rrsg,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
rrsg,hns,±,ecocyc_28,yes,no,no,bie_up
rrsg,lrp,±,ecocyc_28,yes,no,no,bie_up
rrsh,nhar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
rrsh,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
rrsh,hns,±,ecocyc_28,yes,no,no,bie_up
rrsh,lrp,±,ecocyc_28,yes,no,no,bie_up
rsta,phop,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
rsta,arca,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
rstb,phop,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
rybb,nsrr,-,ecocyc_28,yes,no,no,bie_up
safa,ydeo,-,ecocyc_28,no,no,no,bie_up
safa,glar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
safa,evga,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
safa,phop,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
safa,rcsb,+,ecocyc_28,yes,no,no,bie_up
sfmc,fimz,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
sgrs,sgrr,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
sgrs,cra,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
stpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
stpa,lrp,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
stpa,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
stpa,stpa,-,ecocyc_28,no,no,no,bie_up
thrw,fis,+,ecocyc_28,yes,no,yes,bie_up
wcaf,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yadc,hns,-,ecocyc_28,yes,no,no,bie_up
yadc,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yadn,glar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybcv,pdhr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybcv,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yber,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybet,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybhh,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybhi,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ybjg,phop,+,ecocyc_28,no,no,no,emani_up
ycif,mcbr,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
ycif,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
ycjm,ycjw,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
ycjn,ycjw,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
ydcc,hns,-,ecocyc_28,yes,no,no,bie_up
ydda,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ydeq,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ydfd,dica,-,ecocyc_28,no,no,no,bie_up
year,nsrr,-,ecocyc_28,yes,no,no,bie_up
year,narl,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
year,narp,+,ecocyc_28,yes,no,no,bie_up
year,fis,-,ecocyc_28_AND_regdb_13,yes,no,yes,bie_up
yebe,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
yeha,hns,-,ecocyc_28,yes,no,no,bie_up
yeha,crp,+,ecocyc_28,yes,no,no,bie_up
yehl,lrp,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfcv,hns,-,ecocyc_28,yes,no,no,bie_up
yfcv,glar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfcv,fur,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfcv,crp,+,ecocyc_28,yes,no,no,bie_up
yfdn,srsr,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfdv,glar,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfdv,evga,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
yfdv,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yfdx,evga,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
yfjz,mqsa,-,ecocyc_28,no,no,no,bie_up
ygav,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yght,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yiam,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yiam,plar,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
yiam,ihf,+,regdb_13,no,no,yes,bie_up
yjbf,rcsb,+,ecocyc_28,yes,no,no,bie_up
yjbf,ihf,+,regdb_13,no,no,yes,bie_up
yjbg,rcsb,+,ecocyc_28,yes,no,no,bie_up
yjbg,ihf,+,regdb_13,no,no,yes,bie_up
yjej,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yjfn,cpxr,+,ecocyc_28,yes,no,no,emani_up
yjjq,leuo,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
yjjq,glar,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
yjjq,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ynak,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ynba,rcsb,+,ecocyc_28,yes,no,no,bie_up
ynbb,rcsb,+,ecocyc_28,yes,no,no,bie_up
ypjj,mqsa,-,ecocyc_28,no,no,no,bie_up
yqek,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
ytfk,phob,+,ecocyc_28,yes,no,no,emani_up
ytfk,lrp,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
ytfk,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
ytfk,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
