regulator,num_degs_regulated,total_targets,enrichment_score,p_value,up_appearance_count,down_appearance_count,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,a,K,fdr,M,N,topN_x,topN_y,topN
pspf,6,8,0.75,3.2487364430090396e-07,6,0,no,no,no,6,8,0.00011370577550531639,150,3060,False,True,False
hns,27,240,0.1125,2.4172957812189335e-05,27,0,yes,no,no,27,240,0.004230267617133134,150,3060,False,True,False
agar,5,11,0.45454545454545453,9.632757200301657e-05,5,0,no,no,no,5,11,0.010111344593361883,150,3060,False,True,False
marr,3,3,1.0,0.00011555822392413582,3,0,no,no,no,3,3,0.010111344593361883,150,3060,False,True,False
phop,10,60,0.16666666666666666,0.0005386096434108119,10,0,no,no,no,10,60,0.037702675038756836,150,3060,False,True,False
acrr,4,15,0.26666666666666666,0.004956219935152965,4,0,no,no,no,4,15,0.2891128295505896,150,3060,False,True,False
norr,2,3,0.6666666666666666,0.0069319318378275535,2,0,no,no,no,2,3,0.34659659189137765,150,3060,False,True,False
dpia,3,11,0.2727272727272727,0.01424642809803368,3,0,no,no,no,3,11,0.5651742044079175,150,3060,False,True,False
evga,4,20,0.2,0.01453305097048931,4,0,no,no,no,4,20,0.5651742044079175,150,3060,False,True,False
ycjw,3,12,0.25,0.018322883110064053,3,0,no,no,no,3,12,0.5830008262293107,150,3060,False,True,False
fis,20,249,0.08032128514056225,0.01726155820383167,20,0,yes,no,yes,20,249,0.5830008262293107,150,3060,False,,False
dica,2,6,0.3333333333333333,0.031436658934494224,2,0,no,no,no,2,6,0.9169025522560815,150,3060,False,True,False
yidz,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
deor,1,6,0.16666666666666666,0.26053179873973864,1,0,no,no,no,1,6,1.0,150,3060,False,True,False
pdel,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
nikr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
metr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
malt,0,11,0.0,1.0,0,0,no,no,no,0,11,1.0,150,3060,False,,False
yafq,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
dinj,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
dinjyafq,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
csqr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
fhla,0,30,0.0,1.0,0,0,yes,no,no,0,30,1.0,150,3060,False,,False
ohsc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
uvry,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
sgrr,1,9,0.1111111111111111,0.3642590408757247,1,0,no,no,no,1,9,1.0,150,3060,False,True,False
aaer,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
ebgr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
dsdc,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
mhpr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
melr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
mali,1,3,0.3333333333333333,0.14001133346766007,1,0,no,no,no,1,3,1.0,150,3060,False,True,False
