gene,source,comparison
carB,houser,two_week_starvation_versus_control
ftsA,houser,two_week_starvation_versus_control
sspB,houser,two_week_starvation_versus_control
rpmD,houser,two_week_starvation_versus_control
secY,houser,two_week_starvation_versus_control
rplO,houser,two_week_starvation_versus_control
rpsD,houser,two_week_starvation_versus_control
rpsK,houser,two_week_starvation_versus_control
rpsE,houser,two_week_starvation_versus_control
rpoA,houser,two_week_starvation_versus_control
rpsM,houser,two_week_starvation_versus_control
metC,houser,two_week_starvation_versus_control
ybdG,houser,two_week_starvation_versus_control
pspF,houser,two_week_starvation_versus_control
potD,houser,two_week_starvation_versus_control
panD,houser,two_week_starvation_versus_control
nudJ,houser,two_week_starvation_versus_control
rplQ,houser,two_week_starvation_versus_control
lptE,houser,two_week_starvation_versus_control
lolC,houser,two_week_starvation_versus_control
flgB,houser,two_week_starvation_versus_control
parE,houser,two_week_starvation_versus_control
yrdA,houser,two_week_starvation_versus_control
holB,houser,two_week_starvation_versus_control
thrS,houser,two_week_starvation_versus_control
pntA,houser,two_week_starvation_versus_control
ycfS,houser,two_week_starvation_versus_control
aroH,houser,two_week_starvation_versus_control
infC,houser,two_week_starvation_versus_control
accC,houser,two_week_starvation_versus_control
yegU,houser,two_week_starvation_versus_control
yhdY,houser,two_week_starvation_versus_control
yceD,houser,two_week_starvation_versus_control
rpmF,houser,two_week_starvation_versus_control
ydjN,houser,two_week_starvation_versus_control
flgK,houser,two_week_starvation_versus_control
tolA,houser,two_week_starvation_versus_control
accB,houser,two_week_starvation_versus_control
hpt,houser,two_week_starvation_versus_control
ccmH,houser,two_week_starvation_versus_control
flgI,houser,two_week_starvation_versus_control
lpxT,houser,two_week_starvation_versus_control
guaA,houser,two_week_starvation_versus_control
rhtC,houser,two_week_starvation_versus_control
tatB,houser,two_week_starvation_versus_control
shiA,houser,two_week_starvation_versus_control
RhtB,houser,two_week_starvation_versus_control
yhcG,houser,two_week_starvation_versus_control
glgB,houser,two_week_starvation_versus_control
hemY,houser,two_week_starvation_versus_control
ushA,houser,two_week_starvation_versus_control
yejM,houser,two_week_starvation_versus_control
aroB,houser,two_week_starvation_versus_control
flgC,houser,two_week_starvation_versus_control
nuoM,houser,two_week_starvation_versus_control
yejF,houser,two_week_starvation_versus_control
ahpF,houser,two_week_starvation_versus_control
kdsD,houser,two_week_starvation_versus_control
rfaE,houser,two_week_starvation_versus_control
flgM,houser,two_week_starvation_versus_control
pldA,houser,two_week_starvation_versus_control
damX,houser,two_week_starvation_versus_control
rffG,houser,two_week_starvation_versus_control
glgP,houser,two_week_starvation_versus_control
rffM,houser,two_week_starvation_versus_control
yhbJ,houser,two_week_starvation_versus_control
gltB,houser,two_week_starvation_versus_control
gltD,houser,two_week_starvation_versus_control
speE,houser,two_week_starvation_versus_control
lptB,houser,two_week_starvation_versus_control
secG,houser,two_week_starvation_versus_control
yeiP,houser,two_week_starvation_versus_control
lptC,houser,two_week_starvation_versus_control
bioH,houser,two_week_starvation_versus_control
kduI,houser,two_week_starvation_versus_control
rsxE,houser,two_week_starvation_versus_control
malP,houser,two_week_starvation_versus_control
malQ,houser,two_week_starvation_versus_control
gntT,houser,two_week_starvation_versus_control
hpf,houser,two_week_starvation_versus_control
speD,houser,two_week_starvation_versus_control
lptA,houser,two_week_starvation_versus_control
speB,houser,two_week_starvation_versus_control
rpoN,houser,two_week_starvation_versus_control
nfo,houser,two_week_starvation_versus_control
yrbD,houser,two_week_starvation_versus_control
mlaD,houser,two_week_starvation_versus_control
aat,houser,two_week_starvation_versus_control
nudE,houser,two_week_starvation_versus_control
mlaC,houser,two_week_starvation_versus_control
yrbC,houser,two_week_starvation_versus_control
thrC,houser,two_week_starvation_versus_control
rpmA,houser,two_week_starvation_versus_control
cusA,houser,two_week_starvation_versus_control
nudF,houser,two_week_starvation_versus_control
potC,houser,two_week_starvation_versus_control
ymdC,houser,two_week_starvation_versus_control
dusB,houser,two_week_starvation_versus_control
prmA,houser,two_week_starvation_versus_control
murJ,houser,two_week_starvation_versus_control
gmr,houser,two_week_starvation_versus_control
rimK,houser,two_week_starvation_versus_control
holA,houser,two_week_starvation_versus_control
murA,houser,two_week_starvation_versus_control
btuF,houser,two_week_starvation_versus_control
ribE,houser,two_week_starvation_versus_control
ftsX,houser,two_week_starvation_versus_control
ihfA,houser,two_week_starvation_versus_control
puuD,houser,two_week_starvation_versus_control
hemD,houser,two_week_starvation_versus_control
livJ,houser,two_week_starvation_versus_control
ygiM,houser,two_week_starvation_versus_control
rimO,houser,two_week_starvation_versus_control
bacA,houser,two_week_starvation_versus_control
gsiD,houser,two_week_starvation_versus_control
yrbA,houser,two_week_starvation_versus_control
trpE,houser,two_week_starvation_versus_control
ampG,houser,two_week_starvation_versus_control
yjcE,houser,two_week_starvation_versus_control
livF,houser,two_week_starvation_versus_control
yhhK,houser,two_week_starvation_versus_control
ghra,houser,two_week_starvation_versus_control
gsiA,houser,two_week_starvation_versus_control
gsiB,houser,two_week_starvation_versus_control
moeA,houser,two_week_starvation_versus_control
iaaA,houser,two_week_starvation_versus_control
folC,houser,two_week_starvation_versus_control
yciW,houser,two_week_starvation_versus_control
yjcB,houser,two_week_starvation_versus_control
rnb,houser,two_week_starvation_versus_control
fecA,houser,two_week_starvation_versus_control
yrbB,houser,two_week_starvation_versus_control
mlaB,houser,two_week_starvation_versus_control
pgpB,houser,two_week_starvation_versus_control
topA,houser,two_week_starvation_versus_control
alr,houser,two_week_starvation_versus_control
dapF,houser,two_week_starvation_versus_control
glnL,houser,two_week_starvation_versus_control
glnG,houser,two_week_starvation_versus_control
hemN,houser,two_week_starvation_versus_control
luxS,houser,two_week_starvation_versus_control
iclR,houser,two_week_starvation_versus_control
yihL,houser,two_week_starvation_versus_control
rfbA,houser,two_week_starvation_versus_control
ubiE,houser,two_week_starvation_versus_control
typA,houser,two_week_starvation_versus_control
prfB,houser,two_week_starvation_versus_control
Cyca,houser,two_week_starvation_versus_control
fklB,houser,two_week_starvation_versus_control
rpsR,houser,two_week_starvation_versus_control
priB,houser,two_week_starvation_versus_control
rpsF,houser,two_week_starvation_versus_control
dtd,houser,two_week_starvation_versus_control
dbpA,houser,two_week_starvation_versus_control
ycfL,houser,two_week_starvation_versus_control
malK,houser,two_week_starvation_versus_control
malF,houser,two_week_starvation_versus_control
lysC,houser,two_week_starvation_versus_control
yigP,houser,two_week_starvation_versus_control
glnA,houser,two_week_starvation_versus_control
modF,houser,two_week_starvation_versus_control
gltK,houser,two_week_starvation_versus_control
fdoI,houser,two_week_starvation_versus_control
ydjA,houser,two_week_starvation_versus_control
hinT,houser,two_week_starvation_versus_control
nuoN,houser,two_week_starvation_versus_control
lamB,houser,two_week_starvation_versus_control
rimM,houser,two_week_starvation_versus_control
mtn,houser,two_week_starvation_versus_control
visC,houser,two_week_starvation_versus_control
ubiH,houser,two_week_starvation_versus_control
ybbO,houser,two_week_starvation_versus_control
thiL,houser,two_week_starvation_versus_control
sapF,houser,two_week_starvation_versus_control
ppa,houser,two_week_starvation_versus_control
selB,houser,two_week_starvation_versus_control
fdoH,houser,two_week_starvation_versus_control
dusA,houser,two_week_starvation_versus_control
dnaB,houser,two_week_starvation_versus_control
mpl,houser,two_week_starvation_versus_control
yceB,houser,two_week_starvation_versus_control
betB,houser,two_week_starvation_versus_control
lysS,houser,two_week_starvation_versus_control
ygaH,houser,two_week_starvation_versus_control
fre,houser,two_week_starvation_versus_control
tatA,houser,two_week_starvation_versus_control
ysgA,houser,two_week_starvation_versus_control
apt,houser,two_week_starvation_versus_control
acrA,houser,two_week_starvation_versus_control
pyrF,houser,two_week_starvation_versus_control
secB,houser,two_week_starvation_versus_control
trpD,houser,two_week_starvation_versus_control
gpsA,houser,two_week_starvation_versus_control
pyrB,houser,two_week_starvation_versus_control
pepB,houser,two_week_starvation_versus_control
cysE,houser,two_week_starvation_versus_control
ybbN,houser,two_week_starvation_versus_control
pepQ,houser,two_week_starvation_versus_control
gcvT,houser,two_week_starvation_versus_control
rfaF,houser,two_week_starvation_versus_control
gcvP,houser,two_week_starvation_versus_control
rfaC,houser,two_week_starvation_versus_control
rfaD,houser,two_week_starvation_versus_control
gcvH,houser,two_week_starvation_versus_control
yibN,houser,two_week_starvation_versus_control
grxC,houser,two_week_starvation_versus_control
uvrD,houser,two_week_starvation_versus_control
rdoA,houser,two_week_starvation_versus_control
yihD,houser,two_week_starvation_versus_control
ygaW,houser,two_week_starvation_versus_control
sppA,houser,two_week_starvation_versus_control
nupG,houser,two_week_starvation_versus_control
yjaG,houser,two_week_starvation_versus_control
nfi,houser,two_week_starvation_versus_control
purH,houser,two_week_starvation_versus_control
purD,houser,two_week_starvation_versus_control
holC,houser,two_week_starvation_versus_control
yfcD,houser,two_week_starvation_versus_control
rfaY,houser,two_week_starvation_versus_control
yajC,houser,two_week_starvation_versus_control
rfaL,houser,two_week_starvation_versus_control
rpsI,houser,two_week_starvation_versus_control
ybhA,houser,two_week_starvation_versus_control
