baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
1.022991141,-0.947190637,0.158635687,0.324739758,eutH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.871974285,0.708313605,0.245612774,0.433505342,eutG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.103533097,0.440998927,0.599917052,,eutJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.21221225,0.703781662,0.407076275,,eutE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.069382714,0.258711184,0.746616705,,cchB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.591826344,-0.009237663,0.986662207,0.992609311,cchA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.448967248,0.284559054,0.677305343,0.821369282,eutI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.303934859,1.082355995,0.198604906,,eutT,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.120795626,0.111236535,0.894847238,,eutQ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.32616585,0.417313642,0.607200885,,eutP,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.133760546,-0.231125705,0.779597227,,ypfE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
136.4278994,0.43501957,0.22388296,0.409118242,maeB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
22.46225932,-1.6251931,0.00948984,0.050937175,talA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
44.23172428,-2.046523288,0.000541389,0.007753468,tktB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.528939427,0.513489548,0.242327346,0.430233502,ypfG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
31.53779455,-0.292788917,0.489271965,0.680370212,yffH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.212952188,0.313217317,0.421335737,0.620896619,aegA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.20763618,0.048359123,0.925509891,0.970873544,narQ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.606492069,1.160323824,0.030368013,0.109052895,acrD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
10.53472543,-0.513243214,0.116793009,0.263715965,yffB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.38332296,0.045144192,0.870761089,0.937802677,dapE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
29.0109863,0.06052743,0.872933282,0.939021226,ECB_02364,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
