baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
84.33001218,0.652968692,0.159492662,0.29813128,imp,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
12.32150614,0.178714809,0.681531043,0.775472627,djlA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.982602034,-0.603522117,0.435794672,0.570870173,rluA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
27.43107109,-0.396603109,0.293570545,0.441153682,hepA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.433198925,-1.084286745,0.171737306,0.31058358,polB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.417900675,-0.63419885,0.425685156,,araD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.410914982,0.47073083,0.556241656,0.672129671,araA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.372983159,-0.039682334,0.959208487,0.974748395,araB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.77867523,1.327852229,0.095114582,0.214861904,araC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.433751228,1.856184128,0.021430456,,yabI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.907608457,-1.458470253,0.062077758,,thiQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.295785435,-0.604672537,0.40767887,,thiP,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.083995512,1.016115564,0.160129917,0.298681961,tbpA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.048977846,0.077185198,0.922806949,0.951678525,yabN,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.354285281,-0.375367436,0.63650055,,setA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
110.055103,-0.101231127,0.842791424,0.898626355,leuD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
177.2548959,0.018643697,0.967724437,0.980977341,leuC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
131.3022669,0.083004486,0.858763158,0.909968911,leuB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
184.4111215,0.180159882,0.690774719,0.782164826,leuA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.008034889,0.011807757,0.981228172,,leuL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.570797087,-0.949605151,0.227997753,,leuO,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
64.26228988,0.141609017,0.76688874,0.841178005,ilvI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.97651206,0.756729809,0.086092468,0.203051267,ilvH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
15.69724964,2.119719779,1.85e-06,6.16e-05,fruR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.528418045,0.243823196,0.572941331,0.686081828,yabB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.94448806,0.502284436,0.188858013,0.330999346,mraW,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.613123381,1.856182667,0.001630047,0.015564512,ftsL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
10.47052628,0.44363868,0.396300435,0.531684507,ftsI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
29.10971969,0.839552854,0.243578724,0.390712964,murE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.45214708,0.887249545,0.047250213,0.141419059,murF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.349001935,-0.908304173,0.241068202,,mraY,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.13495459,0.918262883,0.009402361,0.051743317,murD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.702295437,-0.975836512,0.219771,,ftsW,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.78703219,0.248862686,0.508313304,0.631443566,murG,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
32.91797807,0.471581227,0.343240787,0.483142559,murC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.00551022,0.535403023,0.164580939,0.303212832,ddl,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.518511661,0.801848594,0.115932881,0.244577281,ftsQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
26.01954099,-0.042768292,0.924236407,0.952250026,ftsA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
142.9767291,0.230065931,0.611724356,0.719394589,ftsZ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.85281986,0.0582431,0.914451107,0.946251671,lpxC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.306473056,-0.691130698,0.384055644,,yacA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
181.8040815,0.361062656,0.441763886,0.57559765,secA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.514125846,1.068442477,0.074097769,0.188298104,mutT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
10.78429515,1.035695687,0.033968821,0.116367084,yacG,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
16.85250699,-0.503979044,0.292706208,0.440828918,yacF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.439073327,0.162699355,0.807268809,0.872750689,coaE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.13144131,0.416435361,0.30377383,0.451164962,guaC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.313479088,-0.358620462,0.647968581,,hofC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.826348984,-1.783743013,0.024326516,,hofB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.045620755,-0.04949458,0.921440908,,ppdD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
15.56055298,-0.06361232,0.909150445,0.943054717,nadC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.956889098,0.128578998,0.856772552,0.908612085,ampD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.933835768,-1.666402319,0.023731219,0.094006487,ampE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.485376442,-0.729298127,0.230583135,0.37553001,aroP,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.096109878,2.397493002,1.48e-13,4.73e-11,pdhR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
354.1944617,0.766083265,0.068061771,0.178270289,aceE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
186.0572784,0.779291897,0.060047291,0.164519291,aceF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
248.3131765,0.541886295,0.209738558,0.35367229,lpdA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.157213728,-1.49238151,0.057179724,0.159046645,yacH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
284.2347357,0.851266254,0.013775991,0.066190514,acnB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.040353515,-1.231117941,0.112269879,0.23921617,yacL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
48.95411038,-0.067651489,0.879074404,0.922325298,speD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
21.55859136,0.48459086,0.323925945,0.46853796,speE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.849757112,1.144257418,0.065991746,0.174816643,yacC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
21.85526005,0.197469119,0.691303366,0.782396477,cueO,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
33.53044632,-2.19093709,1.47e-05,0.000356596,gcd,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
40.2546517,0.587782779,0.166810537,0.305123776,hpt,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
63.38776839,0.296221275,0.511048275,0.633917856,yadF,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.16470931,1.12890194,0.01440972,0.068294397,yadG,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.065290836,-0.082653859,0.874561289,,yadH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
