gene,ratio,log2_fc
miaA ,0.7714915176839859,-0.3742778
coaE ,0.7717457831335011,-0.3738024
glf ,0.7719842932978436,-0.3733566
rplX ,0.7720505413637884,-0.3732328
truB ,0.7726933570105985,-0.3720321
yidC ,0.7727869302877667,-0.3718574
corA ,0.772856675726568,-0.3717272
gor ,0.7733208949660058,-0.3708609
insH6 ,0.7736450973425792,-0.3702562
ilvI ,0.7740429898164637,-0.3695144
clpX ,0.7741811575184316,-0.3692569
helD ,0.7753375273228917,-0.3671036
yadL ,0.7755033938064075,-0.366795
rpsE ,0.7757957082900379,-0.3662513
acrR ,0.7766334223783704,-0.3646943
trxB ,0.7771160696411092,-0.363798
dcuA ,0.7773916948222548,-0.3632864
hisB ,0.7784799026103824,-0.3612683
speE ,0.7786624171110886,-0.3609301
rsmA ,0.7787154741475073,-0.3608318
galU ,0.778844434548282,-0.3605929
tldD ,0.7789671529894907,-0.3603656
fnr ,0.7790230926665556,-0.360262
apt ,0.7802551610004496,-0.3579821
hlyE ,0.7803485141299649,-0.3578095
yeeR ,0.7806286405389088,-0.3572917
ftsE ,0.7807538589320421,-0.3570603
fabG ,0.781381281313548,-0.3559014
pflA ,0.7818202729750711,-0.3550911
hycI ,0.7827454921579862,-0.3533848
ybeZ ,0.7827478251601361,-0.3533805
potA ,0.7830249593187835,-0.3528698
talB ,0.7840206182034604,-0.3510365
rep ,0.7841808955357047,-0.3507416
purN ,0.784342836626825,-0.3504437
recG ,0.7843589836442958,-0.350414
ybhA ,0.7845825751679133,-0.3500028
yhbY ,0.7854163304067814,-0.3484705
cysU ,0.7855866944929647,-0.3481576
yajC ,0.7859762913755014,-0.3474423
dhaL ,0.7872449483970734,-0.3451155
hslR ,0.7874836635343897,-0.3446781
uup ,0.7883930698826344,-0.343013
wbbI ,0.7885111167650406,-0.342797
cmoB ,0.788590371115083,-0.342652
ppiC ,0.7889285213798345,-0.3420335
dapB ,0.7896176810665759,-0.3407738
nadR ,0.789636290209014,-0.3407398
proS ,0.7898773182214086,-0.3402995
acrB ,0.789970836968248,-0.3401287
yiaD ,0.7907672897281846,-0.3386749
tusC ,0.7912849373986889,-0.3377308
eno ,0.7915934060826609,-0.3371685
thiB ,0.7921861590290676,-0.3360886
fabI ,0.792449387150317,-0.3356093
ydbK ,0.7924782250880914,-0.3355568
rimK ,0.7928834953449293,-0.3348192
murG ,0.7928934978542809,-0.334801
iadA ,0.7934977294573203,-0.333702
ybbO ,0.7945539573698105,-0.3317829
rsuA ,0.7949313608889923,-0.3310978
clpA ,0.7970034089226452,-0.3273422
tsf ,0.7990966990478633,-0.323558
hemE ,0.7995307355788068,-0.3227746
ptsH ,0.799579395158779,-0.3226868
cueO ,0.8006009873173914,-0.3208447
yheO ,0.8006195223381352,-0.3208113
efp ,0.8015831015420607,-0.319076
galE ,0.8017302974865161,-0.3188111
yneJ ,0.8018681271723003,-0.3185631
solA ,0.8022462244553082,-0.317883
cydC ,0.8022560670380281,-0.3178653
tolA ,0.8024988889749554,-0.3174287
ydgJ ,0.8025783253837345,-0.3172859
cysA ,0.8027820700965832,-0.3169197
hrpA ,0.802809392066421,-0.3168706
pth ,0.8036766658208667,-0.3153129
cirA ,0.8037815682349126,-0.3151246
metH ,0.8038511021805688,-0.3149998
tas ,0.8043292551681412,-0.3141419
infA ,0.8047066722468857,-0.3134651
mlaF ,0.8052414821705048,-0.3125066
purE ,0.8052425984730047,-0.3125046
rlmE ,0.8059781873998443,-0.3111873
rho ,0.8062173299964529,-0.3107593
yajL ,0.8064457550550316,-0.3103506
fklB ,0.8065452047250062,-0.3101727
yecF ,0.8066812341631505,-0.3099294
ybgJ ,0.8069935792348687,-0.3093709
yhdP ,0.807032176365225,-0.3093019
yniC ,0.8075620385897166,-0.308355
ispU ,0.8085804906841284,-0.3065367
rpmD ,0.809021080346949,-0.3057508
rluF ,0.8095739086489878,-0.3047653
zapD ,0.8098353924572234,-0.3042994
coaD ,0.810039295037712,-0.3039362
artJ ,0.810677046325008,-0.3028008
yhjH ,0.8107087391484036,-0.3027444
prlC ,0.8108811046134232,-0.3024377
ybiT ,0.8111617897152987,-0.3019384
zwf ,0.8112117756810886,-0.3018495
rapA ,0.8113284028347514,-0.3016421
lrp ,0.8113292463901823,-0.3016406
mreB ,0.8114744072211303,-0.3013825
rfaY ,0.811697626488079,-0.3009857
bioF ,0.8121461632303603,-0.3001887
tufA ,0.8128022494940198,-0.2990237
mltA ,0.8129052440011716,-0.2988409
nusG ,0.8134843520430654,-0.2978135
yqhG ,0.8135242182319117,-0.2977428
rna ,0.8137243117233133,-0.297388
aas ,0.8139934552767145,-0.2969109
nadE ,0.8141221634102157,-0.2966828
ycjW ,0.8147336497201743,-0.2955996
mfd ,0.8147478810488371,-0.2955744
metC ,0.8154805653816554,-0.2942776
pgk ,0.8156912605455369,-0.2939049
arpB ,0.8158477766460672,-0.2936281
infC ,0.8159357170374288,-0.2934726
pheP ,0.8159507611663295,-0.293446
galR ,0.8163043214759524,-0.292821
prc ,0.8164644639702784,-0.292538
ffh ,0.8166085624733126,-0.2922834
mrdB ,0.8170181878257162,-0.2915599
tktA ,0.8174513061599554,-0.2907953
rplI ,0.817519699338921,-0.2906746
lysU ,0.8177017312675183,-0.2903534
kdsB ,0.8177249132109848,-0.2903125
cysS ,0.8182515867196668,-0.2893836
metA ,0.8186013777336764,-0.288767
lysS ,0.8192402482518069,-0.2876415
alaC ,0.8194272639391587,-0.2873122
trpE ,0.8196848282183044,-0.2868588
yfiF ,0.8201892273245426,-0.2859713
yqhD ,0.8205427473076067,-0.2853496
tehB ,0.8210376012106918,-0.2844798
rsfS ,0.821085634647121,-0.2843954
nfnB ,0.8212990304064509,-0.2840205
lepB ,0.8213151412198031,-0.2839922
mrp ,0.8219159642246152,-0.2829372
fruK ,0.8219420572987735,-0.2828914
folD ,0.8219507171920508,-0.2828762
entB ,0.8219542495431386,-0.28287
phnD ,0.8219830786533943,-0.2828194
leuS ,0.8220151565000645,-0.2827631
metQ ,0.8221072946833061,-0.2826014
yejF ,0.8225124377138874,-0.2818906
yhhX ,0.823018462715896,-0.2810033
yqaB ,0.8234747963790285,-0.2802036
rlmL ,0.8242210988050884,-0.2788967
ispH ,0.8242419517572498,-0.2788602
glnD ,0.8244278234281142,-0.2785349
pdxA ,0.8245543521270438,-0.2783135
elaA ,0.8246520336754708,-0.2781426
yigI ,0.8252121683069623,-0.277163
cysG ,0.8252281270795838,-0.2771351
argS ,0.8260307535293983,-0.2757326
trmA ,0.8269147449077483,-0.2741895
rpmF ,0.826962147725082,-0.2741068
selB ,0.8284799566645542,-0.2714613
lgt ,0.8285592081342297,-0.2713233
ygiF ,0.8298952183532252,-0.2689989
yegU ,0.830783345356758,-0.2674558
kefA ,0.8308489954357362,-0.2673418
ynjB ,0.83209796752744,-0.2651747
gltX ,0.8321982732426872,-0.2650008
hemB ,0.8323127253521909,-0.2648024
yafS ,0.8328676142205447,-0.2638409
lepA ,0.8330657093495994,-0.2634978
fusA ,0.8337797274807764,-0.2622618
yddB ,0.8344996213008034,-0.2610167
mdoH ,0.8345504090932577,-0.2609289
thyA ,0.8350838096827403,-0.2600071
glyQ ,0.8354354107761283,-0.2593998
tsx ,0.8355693047310006,-0.2591686
rlpA ,0.8358555228768465,-0.2586745
ybiS ,0.8359470684917152,-0.2585165
rbfA ,0.836437703597831,-0.25767
otsA ,0.8367263071128743,-0.2571723
glyS ,0.8367744463795123,-0.2570893
yncD ,0.8369379085550772,-0.2568075
rfaZ ,0.8376932769033025,-0.255506
yhcB ,0.8378573831771874,-0.2552234
nuoL ,0.8392404382402117,-0.2528439
yejL ,0.8392608567603361,-0.2528088
bhsA ,0.8393989129507174,-0.2525715
yihI ,0.840140371450557,-0.2512977
alaS ,0.8404395732513547,-0.250784
metN ,0.8408786963450258,-0.2500304
damX ,0.8413362435795,-0.2492456
hslU ,0.842560390352378,-0.247148
hexR ,0.8426361993456148,-0.2470182
yheS ,0.8428110299021799,-0.2467189
pyrB ,0.843065600834224,-0.2462832
dcyD ,0.8437022769010063,-0.2451941
aroC ,0.8437650878172951,-0.2450867
metR ,0.844778076627877,-0.2433557
xanP ,0.844835404460526,-0.2432578
ascG ,0.8448653289092206,-0.2432067
hmp ,0.8452009535352377,-0.2426337
ydcP ,0.8458157322566472,-0.2415847
yedI ,0.8458834497055449,-0.2414692
yceG ,0.8462874045363393,-0.2407804
copA ,0.8472094577882093,-0.2392094
yfaS ,0.8473828290229968,-0.2389142
rnfE ,0.8478929881023087,-0.2380459
lon ,0.8480315825389474,-0.2378101
engB ,0.8481206405360558,-0.2376586
rcsB ,0.8482575082804491,-0.2374258
exbB ,0.8482707964455148,-0.2374032
ydhZ ,0.8487621930965566,-0.2365677
rfbD ,0.8493065020592432,-0.2356428
hslV ,0.8495574995667197,-0.2352165
rsmC ,0.8500279589613188,-0.2344178
atpG ,0.8505799776805817,-0.2334812
queE ,0.8509227089301029,-0.2329
yehH ,0.8510472279181235,-0.2326889
ycfH ,0.8515138494937673,-0.2318981
mobB ,0.8518680577985989,-0.2312981
prmA ,0.8530681467853514,-0.2292671
lolD ,0.8533016246730802,-0.2288723
efeO ,0.8533789324693727,-0.2287416
sgbU ,0.8536375829789018,-0.2283044
yfaY ,0.8539135356428796,-0.2278381
tgt ,0.8545457281093924,-0.2267704
rnr ,0.8547485645878182,-0.226428
ileS ,0.8548655254878317,-0.2262306
lpxH ,0.8550965910305404,-0.2258407
