gene,source,thresholds,comparison
fes,schmidt,1.5,Xylose_vs_Glucose
fepC,schmidt,1.5,Xylose_vs_Glucose
yjcE,schmidt,1.5,Xylose_vs_Glucose
sbcC,schmidt,1.5,Xylose_vs_Glucose
uvrC,schmidt,1.5,Xylose_vs_Glucose
xylR,schmidt,1.5,Xylose_vs_Glucose
hslR,schmidt,1.5,Xylose_vs_Glucose
xylH,schmidt,1.5,Xylose_vs_Glucose
yahJ,schmidt,1.5,Xylose_vs_Glucose
ptrB,schmidt,1.5,Xylose_vs_Glucose
cyoC,schmidt,1.5,Xylose_vs_Glucose
bhsA,schmidt,1.5,Xylose_vs_Glucose
hdeA,schmidt,1.5,Xylose_vs_Glucose
yciS,schmidt,1.5,Xylose_vs_Glucose
ybdZ,schmidt,1.5,Xylose_vs_Glucose
ybeY,schmidt,1.5,Xylose_vs_Glucose
sufE,schmidt,1.5,Xylose_vs_Glucose
ybgL,schmidt,1.5,Xylose_vs_Glucose
feoA,schmidt,1.5,Xylose_vs_Glucose
nhaB,schmidt,1.5,Xylose_vs_Glucose
ydiE,schmidt,1.5,Xylose_vs_Glucose
yeaR,schmidt,1.5,Xylose_vs_Glucose
djlA,schmidt,1.5,Xylose_vs_Glucose
mltC,schmidt,1.5,Xylose_vs_Glucose
nei,schmidt,1.5,Xylose_vs_Glucose
greB,schmidt,1.5,Xylose_vs_Glucose
ypdB,schmidt,1.5,Xylose_vs_Glucose
rpmJ,schmidt,1.5,Xylose_vs_Glucose
rlmG,schmidt,1.5,Xylose_vs_Glucose
folB,schmidt,1.5,Xylose_vs_Glucose
lipB,schmidt,1.5,Xylose_vs_Glucose
gntK,schmidt,1.5,Xylose_vs_Glucose
mpaA,schmidt,1.5,Xylose_vs_Glucose
tilS,schmidt,1.5,Xylose_vs_Glucose
ychH,schmidt,1.5,Xylose_vs_Glucose
yrbL,schmidt,1.5,Xylose_vs_Glucose
xylE,schmidt,1.5,Xylose_vs_Glucose
aldB,schmidt,1.5,Chemostat_slow_vs_fast
prpC,schmidt,1.5,Chemostat_slow_vs_fast
prpD,schmidt,1.5,Chemostat_slow_vs_fast
modA,schmidt,1.5,Chemostat_slow_vs_fast
araF,schmidt,1.5,Chemostat_slow_vs_fast
ytfQ,schmidt,1.5,Chemostat_slow_vs_fast
fhuC,schmidt,1.5,Chemostat_slow_vs_fast
lsrF,schmidt,1.5,Chemostat_slow_vs_fast
gluQ,schmidt,1.5,Chemostat_slow_vs_fast
yfeW,schmidt,1.5,Chemostat_slow_vs_fast
dxr,schmidt,1.5,Chemostat_slow_vs_fast
prpB,schmidt,1.5,Chemostat_slow_vs_fast
qseB,schmidt,1.5,Chemostat_slow_vs_fast
yiaO,schmidt,1.5,Chemostat_slow_vs_fast
dgoD,schmidt,1.5,Chemostat_slow_vs_fast
sgcX,schmidt,1.5,Chemostat_slow_vs_fast
lsrB,schmidt,1.5,Chemostat_slow_vs_fast
astC,schmidt,1.5,Chemostat_slow_vs_fast
hdfR,schmidt,1.5,Chemostat_slow_vs_fast
acpH,schmidt,1.5,Chemostat_slow_vs_fast
ydeJ,schmidt,1.5,Chemostat_slow_vs_fast
sfsA,schmidt,1.5,Chemostat_slow_vs_fast
modC,schmidt,1.5,Chemostat_slow_vs_fast
lldR,schmidt,1.5,Chemostat_slow_vs_fast
zntR,schmidt,1.5,Chemostat_slow_vs_fast
yoaH,schmidt,1.5,Chemostat_slow_vs_fast
hda,schmidt,1.5,Chemostat_slow_vs_fast
menD,schmidt,1.5,Chemostat_slow_vs_fast
mngB,schmidt,1.5,Chemostat_slow_vs_fast
ydgD,schmidt,1.5,Chemostat_slow_vs_fast
rspB,schmidt,1.5,Chemostat_slow_vs_fast
hybC,schmidt,1.5,Chemostat_slow_vs_fast
xdhB,schmidt,1.5,Chemostat_slow_vs_fast
ymgD,schmidt,1.5,Chemostat_slow_vs_fast
ydcH,schmidt,1.5,Chemostat_slow_vs_fast
lsrG,schmidt,1.5,Chemostat_slow_vs_fast
ugd,schmidt,1.5,Chemostat_slow_vs_fast
dam,schmidt,1.5,Chemostat_slow_vs_fast
ynfL,schmidt,1.5,Chemostat_slow_vs_fast
uidA,schmidt,1.5,Chemostat_slow_vs_fast
hyi,schmidt,1.5,Chemostat_slow_vs_fast
mutT,schmidt,1.5,Chemostat_slow_vs_fast
glnK,schmidt,1.5,Chemostat_slow_vs_fast
glcA,schmidt,1.5,Chemostat_slow_vs_fast
glcF,schmidt,1.5,Chemostat_slow_vs_fast
napA,schmidt,1.5,Chemostat_slow_vs_fast
yciZ,schmidt,1.5,Chemostat_slow_vs_fast
yecH,schmidt,1.5,Chemostat_slow_vs_fast
hemK,schmidt,1.5,Chemostat_slow_vs_fast
yijO,schmidt,1.5,Chemostat_slow_vs_fast
csgD,schmidt,1.5,Chemostat_slow_vs_fast
uhpT,schmidt,1.5,Chemostat_slow_vs_fast
nudI,schmidt,1.5,Chemostat_slow_vs_fast
yqjK,schmidt,1.5,Chemostat_slow_vs_fast
cirA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fepA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fiu,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yncE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
efeO,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
pgl,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
gcd,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
glpA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
pfkB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
grxB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
moaB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
hmp,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sufB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sufC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fliC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
dadA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
osmY,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yhbO,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
mrcA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
osmE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
osmC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
treC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rpmE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
pdxJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rclA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yhhA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ygiW,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
slp,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
recJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ygdL,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sapF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
uspD,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybaK,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ycgM,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fhuE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
tehB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ytfE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yjbJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yecD,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
