gene,source,thresholds,comparison
metE,schmidt,1.5,Acetate_vs_Glucose
carB,schmidt,1.5,Acetate_vs_Glucose
ptsI,schmidt,1.5,Acetate_vs_Glucose
argG,schmidt,1.5,Acetate_vs_Glucose
glnA,schmidt,1.5,Acetate_vs_Glucose
metK,schmidt,1.5,Acetate_vs_Glucose
typA,schmidt,1.5,Acetate_vs_Glucose
ptsG,schmidt,1.5,Acetate_vs_Glucose
gpmI,schmidt,1.5,Acetate_vs_Glucose
fepA,schmidt,1.5,Acetate_vs_Glucose
prpC,schmidt,1.5,Acetate_vs_Glucose
purT,schmidt,1.5,Acetate_vs_Glucose
hisG,schmidt,1.5,Acetate_vs_Glucose
miaB,schmidt,1.5,Acetate_vs_Glucose
asnA,schmidt,1.5,Acetate_vs_Glucose
pntA,schmidt,1.5,Acetate_vs_Glucose
pntB,schmidt,1.5,Acetate_vs_Glucose
deaD,schmidt,1.5,Acetate_vs_Glucose
ychF,schmidt,1.5,Acetate_vs_Glucose
carA,schmidt,1.5,Acetate_vs_Glucose
hsdM,schmidt,1.5,Acetate_vs_Glucose
folE,schmidt,1.5,Acetate_vs_Glucose
aroA,schmidt,1.5,Acetate_vs_Glucose
hisC,schmidt,1.5,Acetate_vs_Glucose
hisD,schmidt,1.5,Acetate_vs_Glucose
rfaF,schmidt,1.5,Acetate_vs_Glucose
hisB,schmidt,1.5,Acetate_vs_Glucose
stpA,schmidt,1.5,Acetate_vs_Glucose
dhaM,schmidt,1.5,Acetate_vs_Glucose
hmp,schmidt,1.5,Acetate_vs_Glucose
mqo,schmidt,1.5,Acetate_vs_Glucose
fhuC,schmidt,1.5,Acetate_vs_Glucose
dsbC,schmidt,1.5,Acetate_vs_Glucose
rplQ,schmidt,1.5,Acetate_vs_Glucose
rimO,schmidt,1.5,Acetate_vs_Glucose
nrdA,schmidt,1.5,Acetate_vs_Glucose
artJ,schmidt,1.5,Acetate_vs_Glucose
yidA,schmidt,1.5,Acetate_vs_Glucose
yrdA,schmidt,1.5,Acetate_vs_Glucose
znuA,schmidt,1.5,Acetate_vs_Glucose
ydcP,schmidt,1.5,Acetate_vs_Glucose
ompX,schmidt,1.5,Acetate_vs_Glucose
pcnB,schmidt,1.5,Acetate_vs_Glucose
bioB,schmidt,1.5,Acetate_vs_Glucose
metA,schmidt,1.5,Acetate_vs_Glucose
speD,schmidt,1.5,Acetate_vs_Glucose
ftnA,schmidt,1.5,Acetate_vs_Glucose
dusA,schmidt,1.5,Acetate_vs_Glucose
apt,schmidt,1.5,Acetate_vs_Glucose
hisA,schmidt,1.5,Acetate_vs_Glucose
hisH,schmidt,1.5,Acetate_vs_Glucose
glnG,schmidt,1.5,Acetate_vs_Glucose
ydjN,schmidt,1.5,Acetate_vs_Glucose
mgtA,schmidt,1.5,Acetate_vs_Glucose
aroH,schmidt,1.5,Acetate_vs_Glucose
hisF,schmidt,1.5,Acetate_vs_Glucose
speE,schmidt,1.5,Acetate_vs_Glucose
yehX,schmidt,1.5,Acetate_vs_Glucose
puuC,schmidt,1.5,Acetate_vs_Glucose
wecB,schmidt,1.5,Acetate_vs_Glucose
ycaO,schmidt,1.5,Acetate_vs_Glucose
yiaD,schmidt,1.5,Acetate_vs_Glucose
recJ,schmidt,1.5,Acetate_vs_Glucose
rpsU,schmidt,1.5,Acetate_vs_Glucose
hemF,schmidt,1.5,Acetate_vs_Glucose
malS,schmidt,1.5,Acetate_vs_Glucose
proP,schmidt,1.5,Acetate_vs_Glucose
proV,schmidt,1.5,Acetate_vs_Glucose
crl,schmidt,1.5,Acetate_vs_Glucose
yqjC,schmidt,1.5,Acetate_vs_Glucose
emrA,schmidt,1.5,Acetate_vs_Glucose
glnL,schmidt,1.5,Acetate_vs_Glucose
yceA,schmidt,1.5,Acetate_vs_Glucose
ycjY,schmidt,1.5,Acetate_vs_Glucose
yqaB,schmidt,1.5,Acetate_vs_Glucose
mhpF,schmidt,1.5,Acetate_vs_Glucose
def,schmidt,1.5,Acetate_vs_Glucose
nadB,schmidt,1.5,Acetate_vs_Glucose
rpe,schmidt,1.5,Acetate_vs_Glucose
yhjE,schmidt,1.5,Acetate_vs_Glucose
yphF,schmidt,1.5,Acetate_vs_Glucose
hisI,schmidt,1.5,Acetate_vs_Glucose
puuE,schmidt,1.5,Acetate_vs_Glucose
hha,schmidt,1.5,Acetate_vs_Glucose
eptC,schmidt,1.5,Acetate_vs_Glucose
sapD,schmidt,1.5,Acetate_vs_Glucose
