gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,deg_source
acea,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
acea,cra,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
acea,crp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
acea,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
acea,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
acea,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
acea,iclr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
acea,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_up
aceb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aceb,crp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
aceb,flhc,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
aceb,flhd,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aceb,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
aceb,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
aceb,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
aceb,flhdc,+,regdb_13,no,no,no,treitz_schmidt_concordant_up
aceb,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
acs,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
acs,ihfa,-,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_up
acs,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
acs,gcvb,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
acs,ihfb,-,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
acs,rob,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
acs,ihf,-,regdb_13,no,no,yes,treitz_schmidt_concordant_up
actp,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
actp,fur,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
actp,ihfa,-,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
actp,fis,-,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_up
actp,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
actp,rpon,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
actp,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
actp,ihfb,-,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
actp,rob,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
actp,ihf,-,regdb_13,no,no,yes,treitz_schmidt_concordant_up
agp,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
agp,phob,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
alda,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
alda,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
alda,dnaa,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
alda,rob,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
alda,mara,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
alda,soxs,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
alda,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
alda,fnr,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aldb,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_up
araf,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
