gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,deg_source
araf,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
araf,spf,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
araf,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
araf,fur,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
araf,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
araf,arac,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
argt,rpon,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
argt,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
argt,glng,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
argt,lrp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
argt,ntrc,+,regdb_13,no,no,no,treitz_schmidt_concordant_up
aspa,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
aspa,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aspa,dcur,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
aspa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aspa,narl,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
aspa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
bfr,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
bfr,fur,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
bfr,ryhb,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
cara,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
cara,ihfb,±,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
cara,fis,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
cara,ihfa,±,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
cara,ihf,±,regdb_13,no,no,yes,treitz_schmidt_concordant_down
carb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
carb,ihfb,±,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
carb,purr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
carb,rutr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
carb,pepa,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
carb,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
carb,fis,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
carb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
carb,ihfa,±,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
carb,ihf,±,regdb_13,no,no,yes,treitz_schmidt_concordant_down
cspd,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
cspd,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
cspd,hns,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
cspd,mqsa,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
csta,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
csta,gcvb,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
csta,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
dadx,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
dadx,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
dadx,lrp,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
dcta,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
dcta,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
dcta,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
dcta,dcur,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
exbd,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
exbd,fur,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
fadb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
fadb,fadr,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
fadb,rob,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fadb,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_up
fadb,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fadh,hipb,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
fadh,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fadh,fadr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
fadh,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fadh,pdhr,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fadi,cpxr,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fadi,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
fadi,fadr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
fadi,lrp,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fadi,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fadj,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fadj,fadr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
fadj,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
frda,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
frda,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
frda,dcur,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
frda,fnr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
frda,narl,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
frda,lrp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuco,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuco,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
fuco,fucr,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
fuco,srsr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
fuma,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
fuma,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuma,lrp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuma,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuma,ryhb,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
fuma,fnr,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gata,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gata,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gata,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
gata,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gatb,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gatb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
gatb,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gatc,crp,+,regdb_13,yes,no,no,treitz_schmidt_concordant_up
gatd,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gatd,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
gatd,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gaty,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gaty,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
gaty,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gatz,arca,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
gatz,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
gatz,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
glcb,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcb,glcc,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
glcb,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcb,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glcb,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glcf,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
glcf,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcf,glcc,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
glcf,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcf,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glcf,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glcg,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
glcg,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcg,glcc,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
glcg,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glcg,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glcg,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glna,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
glna,rpon,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
glna,crp,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
glna,lrp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
glna,zrar,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
glna,glng,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
glna,fis,+,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_down
glna,ntrc,±,regdb_13,no,no,no,treitz_schmidt_concordant_down
glta,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
glta,spf,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
glta,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glta,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glta,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
glta,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glta,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
glta,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_up
gltb,adiy,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
gltb,fur,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
gltb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
gltb,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
gltb,hdfr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
gltb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltb,crp,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltb,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltb,gade,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltb,nac,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
gltb,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
gltb,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
gltb,fnr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltb,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_down
gltd,adiy,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
gltd,fur,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
gltd,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
gltd,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
gltd,yiau,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_down
gltd,hdfr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
gltd,lrp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltd,crp,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltd,argr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltd,gade,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltd,nac,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
gltd,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
gltd,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
gltd,fnr,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
gltd,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_down
gpr,fur,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
gsk,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
hdea,phop,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
hdea,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
hdea,fliz,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
hdea,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdea,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
hdea,gadw,±,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
hdea,gadx,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hdea,rcsb,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hdea,gade,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdea,mara,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdea,torr,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
hdea,lrp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hdeb,phop,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
hdeb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
hdeb,fliz,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
hdeb,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdeb,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
hdeb,gadw,±,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
hdeb,gadx,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hdeb,rcsb,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hdeb,gade,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdeb,mara,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
hdeb,torr,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
hdeb,lrp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
hish,dksa,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
hish,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
hish,cra,±,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
maeb,fur,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mgla,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
mgla,flhc,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
mgla,fis,-,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
mgla,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
mgla,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mgla,gals,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
mgla,galr,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
mgla,glar,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mgla,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mgla,flhd,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
mglb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
mglb,flhc,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
mglb,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
mglb,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mglb,gals,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
mglb,galr,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
mglb,fur,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
mglb,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mglb,flhd,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
mhpr,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
mhpr,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
ompw,rybb,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
ompw,fur,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
ompw,crp,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ompw,narl,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ompw,fnr,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ompw,mica,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
ompw,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ompw,soxs,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
ompx,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
ompx,ompr,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ompx,cyar,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_down
ompx,mica,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
ompx,fnr,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
pnta,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
pnta,arca,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
pnta,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
pnta,lrp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
ppc,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ppc,cra,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
prov,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
prov,hns,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
prov,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
prov,stpa,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_down
prov,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
prov,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_down
prov,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_down
pspe,rpon,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
pspe,ihfa,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
pspe,ihfb,+,ecocyc_28,yes,no,yes,treitz_schmidt_concordant_up
pspe,pspf,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
pspe,ihf,+,regdb_13,no,no,yes,treitz_schmidt_concordant_up
psug,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ptsg,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
ptsg,mlc,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
ptsg,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ptsg,soxs,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ptsg,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ptsg,sgrs,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
ptsg,fis,±,ecocyc_28_AND_regdb_13,yes,no,yes,treitz_schmidt_concordant_down
ptsi,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
ptsi,mlc,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
ptsi,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ptsi,cra,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
ptsi,rpoh,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
ptsi,nagc,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_down
