gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
osmy,rpos,+,ecocyc_28,no,yes,kim_up
osmy,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
osmy,ihfb,-,ecocyc_28,yes,no,kim_up
osmy,crp,-,ecocyc_28,yes,no,kim_up
osmy,ihfa,-,ecocyc_28,yes,no,kim_up
osmy,arca,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
osmy,ihf,-,regdb_13,no,no,kim_up
pspa,ihfb,+,ecocyc_28,yes,no,kim_up
pspa,pspf,+,ecocyc_28_AND_regdb_13,no,no,kim_up
pspa,ihfa,+,ecocyc_28,yes,no,kim_up
pspa,rpon,+,ecocyc_28,no,yes,kim_up
pspa,ihf,+,regdb_13,no,no,kim_up
pspb,ihfb,+,ecocyc_28,yes,no,kim_up
pspb,pspf,+,ecocyc_28_AND_regdb_13,no,no,kim_up
pspb,ihfa,+,ecocyc_28,yes,no,kim_up
pspb,rpon,+,ecocyc_28,no,yes,kim_up
pspb,ihf,+,regdb_13,no,no,kim_up
pspc,ihfb,+,ecocyc_28,yes,no,kim_up
pspc,pspf,+,ecocyc_28_AND_regdb_13,no,no,kim_up
pspc,ihfa,+,ecocyc_28,yes,no,kim_up
pspc,rpon,+,ecocyc_28,no,yes,kim_up
pspc,ihf,+,regdb_13,no,no,kim_up
pspd,ihfb,+,ecocyc_28,yes,no,kim_up
pspd,pspf,+,ecocyc_28_AND_regdb_13,no,no,kim_up
pspd,ihfa,+,ecocyc_28,yes,no,kim_up
pspd,rpon,+,ecocyc_28,no,yes,kim_up
pspd,ihf,+,regdb_13,no,no,kim_up
pspg,ihfa,+,ecocyc_28,yes,no,kim_up
pspg,lrp,+,ecocyc_28,yes,no,kim_up
pspg,pspf,+,ecocyc_28_AND_regdb_13,no,no,kim_up
pspg,rpon,+,ecocyc_28,no,yes,kim_up
pspg,ihfb,+,ecocyc_28,yes,no,kim_up
rpoh,dnaa,-,ecocyc_28,no,no,kim_up
rpoh,rpod,+,ecocyc_28,no,yes,kim_up
rpoh,ihfa,+,ecocyc_28,yes,no,kim_up
rpoh,rpos,+,ecocyc_28,no,yes,kim_up
rpoh,cytr,-,ecocyc_28_AND_regdb_13,no,no,kim_up
rpoh,cpxr,+,ecocyc_28,yes,no,kim_up
rpoh,crp,±,ecocyc_28,yes,no,kim_up
rpoh,rpon,+,ecocyc_28,no,yes,kim_up
rpoh,rpoe,+,ecocyc_28,no,yes,kim_up
rpoh,ihfb,+,ecocyc_28,yes,no,kim_up
rpoh,zrar,+,ecocyc_28_AND_regdb_13,no,no,kim_up
rpoh,ihf,+,regdb_13,no,no,kim_up
sdaa,rpoh,+,ecocyc_28,no,yes,kim_up
sdaa,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
sdaa,lrp,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
slyb,phop,±,ecocyc_28_AND_regdb_13,no,no,kim_up
soxr,acrr,-,ecocyc_28_AND_regdb_13,no,no,kim_up
soxr,fnr,-,ecocyc_28,yes,no,kim_up
soxr,rpod,+,ecocyc_28,no,yes,kim_up
soxr,soxr,-,ecocyc_28_AND_regdb_13,no,no,kim_up
soxr,fur,-,ecocyc_28,yes,no,kim_up
spy,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
spy,baer,+,ecocyc_28_AND_regdb_13,no,no,kim_up
spy,rpod,+,ecocyc_28,no,yes,kim_up
tqsa,fur,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
uspb,ihfa,-,ecocyc_28,yes,no,kim_up
uspb,rpos,+,ecocyc_28,no,yes,kim_up
uspb,ihfb,-,ecocyc_28,yes,no,kim_up
yafq,rpod,+,ecocyc_28,no,yes,kim_up
yafq,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
yafq,dinj,-,ecocyc_28,no,no,kim_up
yafq,yafq,-,ecocyc_28,no,no,kim_up
yafq,lexa,-,ecocyc_28,yes,no,kim_up
yafq,srsr,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
yafq,dinj-yafq,-,regdb_13,no,no,kim_up
ybdl,lrp,-,ecocyc_28,yes,no,kim_up
ybfa,arca,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
ybij,lrp,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
ybij,yhaj,+,ecocyc_28_AND_regdb_13,no,no,kim_up
ybjx,lrp,+,ecocyc_28,yes,no,kim_up
ybjx,nac,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
ycig,mcbr,+,ecocyc_28_AND_regdb_13,no,no,kim_up
ycig,rpos,+,ecocyc_28,no,yes,kim_up
ycig,hns,-,ecocyc_28,yes,no,kim_up
ycig,h-ns,-,regdb_13,no,no,kim_up
yhak,yhaj,+,ecocyc_28_AND_regdb_13,no,no,kim_up
yhcn,lrp,-,ecocyc_28,yes,no,kim_up
yiag,rpos,+,ecocyc_28,no,yes,kim_up
yiag,lrp,-,ecocyc_28,yes,no,kim_up
yiag,rob,-,ecocyc_28,yes,no,kim_up
yibt,lrp,+,ecocyc_28,yes,no,kim_up
yibt,phob,+,ecocyc_28,yes,no,kim_up
yjbj,fliz,-,ecocyc_28_AND_regdb_13,no,no,kim_up
yjbj,lrp,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
yjbj,fur,-,ecocyc_28,yes,no,kim_up
yjfy,glar,-,ecocyc_28_AND_regdb_13,yes,no,kim_up
yqae,cyar,-,ecocyc_28_AND_regdb_13,no,no,kim_up
yqae,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,kim_up
zrap,zrar,+,ecocyc_28_AND_regdb_13,no,no,kim_up
zrap,rpon,+,ecocyc_28,no,yes,kim_up
