gene,source,thresholds,comparison
ybcV,bie,5,CIPvsH2O
citE,bie,5,CIPvsH2O
citD,bie,5,CIPvsH2O
citC,bie,5,CIPvsH2O
glnX,bie,5,CIPvsH2O
gfcC,bie,5,CIPvsH2O
iraM,bie,5,CIPvsH2O
ompG,bie,5,CIPvsH2O
insH1,bie,5,CIPvsH2O
ydaQ,bie,5,CIPvsH2O
ralR,bie,5,CIPvsH2O
kilR,bie,5,CIPvsH2O
ynbA,bie,5,CIPvsH2O
ydcC,bie,5,CIPvsH2O
safA,bie,5,CIPvsH2O
ydeS,bie,5,CIPvsH2O
marR,bie,5,CIPvsH2O
marA,bie,5,CIPvsH2O
marB,bie,5,CIPvsH2O
pinQ,bie,5,CIPvsH2O
rzpQ,bie,5,CIPvsH2O
dicB,bie,5,CIPvsH2O
valV,bie,5,CIPvsH2O
valW,bie,5,CIPvsH2O
ydiN,bie,5,CIPvsH2O
fliA,bie,5,CIPvsH2O
fliQ,bie,5,CIPvsH2O
asnV,bie,5,CIPvsH2O
hisL,bie,5,CIPvsH2O
wcaF,bie,5,CIPvsH2O
insE1,bie,5,CIPvsH2O
yfcV,bie,5,CIPvsH2O
argW,bie,5,CIPvsH2O
yfdN,bie,5,CIPvsH2O
yfdR,bie,5,CIPvsH2O
yfdS,bie,5,CIPvsH2O
ypdI,bie,5,CIPvsH2O
alaX,bie,5,CIPvsH2O
gltW,bie,5,CIPvsH2O
yfjY,bie,5,CIPvsH2O
yfjZ,bie,5,CIPvsH2O
argQ,bie,5,CIPvsH2O
metV,bie,5,CIPvsH2O
yqeK,bie,5,CIPvsH2O
glyU,bie,5,CIPvsH2O
yghT,bie,5,CIPvsH2O
yqiH,bie,5,CIPvsH2O
garR,bie,5,CIPvsH2O
garL,bie,5,CIPvsH2O
garP,bie,5,CIPvsH2O
garD,bie,5,CIPvsH2O
agaB,bie,5,CIPvsH2O
yraI,bie,5,CIPvsH2O
acrE,bie,5,CIPvsH2O
rrlD,bie,5,CIPvsH2O
yhjH,bie,5,CIPvsH2O
yiaM,bie,5,CIPvsH2O
ilvM,bie,5,CIPvsH2O
yjaA,bie,5,CIPvsH2O
phnG,bie,5,CIPvsH2O
yjfI,bie,5,CIPvsH2O
leuX,bie,5,CIPvsH2O
insC1,bie,5,CIPvsH2O
nanC,bie,5,CIPvsH2O
leuV,bie,5,CIPvsH2O
leuQ,bie,5,CIPvsH2O
rybB,bie,5,CIPvsH2O
micC,bie,5,CIPvsH2O
ydaE,bie,5,CIPvsH2O
yehK,bie,5,CIPvsH2O
ghoT,bie,5,CIPvsH2O
ybfK,bie,5,CIPvsH2O
ymgI,bie,5,CIPvsH2O
rseX,bie,5,CIPvsH2O
ohsC,bie,5,CIPvsH2O
ytcA,bie,5,CIPvsH2O
ythA,bie,5,CIPvsH2O
ibsD,bie,5,CIPvsH2O
ynbG,bie,5,CIPvsH2O
yqcG,bie,5,CIPvsH2O
yqfG,bie,5,CIPvsH2O
mgrR,bie,5,CIPvsH2O
