gene,source,comparison
yhfW ,lu,glyphosate_shock_versus_control
yiaL ,lu,glyphosate_shock_versus_control
yiaM ,lu,glyphosate_shock_versus_control
yiaN ,lu,glyphosate_shock_versus_control
yiaO ,lu,glyphosate_shock_versus_control
yieC ,lu,glyphosate_shock_versus_control
yihO ,lu,glyphosate_shock_versus_control
yihP ,lu,glyphosate_shock_versus_control
yihS ,lu,glyphosate_shock_versus_control
yjfR ,lu,glyphosate_shock_versus_control
yjhF ,lu,glyphosate_shock_versus_control
yjhP ,lu,glyphosate_shock_versus_control
yjjN ,lu,glyphosate_shock_versus_control
yliI ,lu,glyphosate_shock_versus_control
dicB ,lu,glyphosate_shock_versus_control
dicC ,lu,glyphosate_shock_versus_control
fliH ,lu,glyphosate_shock_versus_control
csgC ,lu,glyphosate_shock_versus_control
ecpD ,lu,glyphosate_shock_versus_control
fhiA ,lu,glyphosate_shock_versus_control
fimG ,lu,glyphosate_shock_versus_control
flgC ,lu,glyphosate_shock_versus_control
flgD ,lu,glyphosate_shock_versus_control
flgE ,lu,glyphosate_shock_versus_control
flgG ,lu,glyphosate_shock_versus_control
flgH ,lu,glyphosate_shock_versus_control
flgI ,lu,glyphosate_shock_versus_control
flgK ,lu,glyphosate_shock_versus_control
flhE ,lu,glyphosate_shock_versus_control
fliI ,lu,glyphosate_shock_versus_control
fliJ ,lu,glyphosate_shock_versus_control
fliK ,lu,glyphosate_shock_versus_control
fliL ,lu,glyphosate_shock_versus_control
fliP ,lu,glyphosate_shock_versus_control
fliQ ,lu,glyphosate_shock_versus_control
fliR ,lu,glyphosate_shock_versus_control
fliS ,lu,glyphosate_shock_versus_control
gspD ,lu,glyphosate_shock_versus_control
gspE ,lu,glyphosate_shock_versus_control
gspF ,lu,glyphosate_shock_versus_control
gspG ,lu,glyphosate_shock_versus_control
gspH ,lu,glyphosate_shock_versus_control
gspI ,lu,glyphosate_shock_versus_control
htrE ,lu,glyphosate_shock_versus_control
motA ,lu,glyphosate_shock_versus_control
motB ,lu,glyphosate_shock_versus_control
murP ,lu,glyphosate_shock_versus_control
sfmA ,lu,glyphosate_shock_versus_control
sfmC ,lu,glyphosate_shock_versus_control
sfmF ,lu,glyphosate_shock_versus_control
sfmH ,lu,glyphosate_shock_versus_control
tap ,lu,glyphosate_shock_versus_control
yadN ,lu,glyphosate_shock_versus_control
yagZ ,lu,glyphosate_shock_versus_control
ybcW ,lu,glyphosate_shock_versus_control
ybgP ,lu,glyphosate_shock_versus_control
ybgQ ,lu,glyphosate_shock_versus_control
ycbF ,lu,glyphosate_shock_versus_control
ycbR ,lu,glyphosate_shock_versus_control
ycbS ,lu,glyphosate_shock_versus_control
ydeQ ,lu,glyphosate_shock_versus_control
ydeS ,lu,glyphosate_shock_versus_control
yehB ,lu,glyphosate_shock_versus_control
yehC ,lu,glyphosate_shock_versus_control
yfcR ,lu,glyphosate_shock_versus_control
yfcV ,lu,glyphosate_shock_versus_control
yggR ,lu,glyphosate_shock_versus_control
ygiL ,lu,glyphosate_shock_versus_control
yodD ,lu,glyphosate_shock_versus_control
yraK ,lu,glyphosate_shock_versus_control
acrE ,lu,glyphosate_shock_versus_control
agaS ,lu,glyphosate_shock_versus_control
arnT ,lu,glyphosate_shock_versus_control
betT ,lu,glyphosate_shock_versus_control
caiT ,lu,glyphosate_shock_versus_control
cpsB ,lu,glyphosate_shock_versus_control
cusC ,lu,glyphosate_shock_versus_control
fepE ,lu,glyphosate_shock_versus_control
gudX ,lu,glyphosate_shock_versus_control
ompN ,lu,glyphosate_shock_versus_control
rspA ,lu,glyphosate_shock_versus_control
wcaA ,lu,glyphosate_shock_versus_control
wcaC ,lu,glyphosate_shock_versus_control
wcaE ,lu,glyphosate_shock_versus_control
wcaG ,lu,glyphosate_shock_versus_control
wcaI ,lu,glyphosate_shock_versus_control
wcaJ ,lu,glyphosate_shock_versus_control
wza ,lu,glyphosate_shock_versus_control
yaiU ,lu,glyphosate_shock_versus_control
yeaV ,lu,glyphosate_shock_versus_control
yfhD ,lu,glyphosate_shock_versus_control
yhiU ,lu,glyphosate_shock_versus_control
yiaD ,lu,glyphosate_shock_versus_control
yjcP ,lu,glyphosate_shock_versus_control
yohG ,lu,glyphosate_shock_versus_control
bioA ,lu,glyphosate_shock_versus_control
bioD ,lu,glyphosate_shock_versus_control
bioF ,lu,glyphosate_shock_versus_control
citD ,lu,glyphosate_shock_versus_control
citF ,lu,glyphosate_shock_versus_control
citG ,lu,glyphosate_shock_versus_control
citT ,lu,glyphosate_shock_versus_control
citX ,lu,glyphosate_shock_versus_control
thiG ,lu,glyphosate_shock_versus_control
thiM ,lu,glyphosate_shock_versus_control
ampC ,lu,glyphosate_shock_versus_control
dinF ,lu,glyphosate_shock_versus_control
emrK ,lu,glyphosate_shock_versus_control
emrY ,lu,glyphosate_shock_versus_control
mdtC ,lu,glyphosate_shock_versus_control
mdtF ,lu,glyphosate_shock_versus_control
mdtJ ,lu,glyphosate_shock_versus_control
mdtL ,lu,glyphosate_shock_versus_control
ybeR ,lu,glyphosate_shock_versus_control
ycfZ ,lu,glyphosate_shock_versus_control
yiaV ,lu,glyphosate_shock_versus_control
yibH ,lu,glyphosate_shock_versus_control
yjcR ,lu,glyphosate_shock_versus_control
aldB ,lu,glyphosate_shock_versus_control
allA ,lu,glyphosate_shock_versus_control
allB ,lu,glyphosate_shock_versus_control
allC ,lu,glyphosate_shock_versus_control
allD ,lu,glyphosate_shock_versus_control
allS ,lu,glyphosate_shock_versus_control
araB ,lu,glyphosate_shock_versus_control
aslB ,lu,glyphosate_shock_versus_control
betB ,lu,glyphosate_shock_versus_control
dcuD ,lu,glyphosate_shock_versus_control
fadH ,lu,glyphosate_shock_versus_control
