gene,source,thresholds,comparison
yffN,ceroni,2.5,pPD864-LacZ_versus_pPD864
nadB,ceroni,2.5,pPD864-LacZ_versus_pPD864
hydN,ceroni,2.5,pPD864-LacZ_versus_pPD864
yqeA,ceroni,2.5,pPD864-LacZ_versus_pPD864
hybF,ceroni,2.5,pPD864-LacZ_versus_pPD864
hybE,ceroni,2.5,pPD864-LacZ_versus_pPD864
ygjI,ceroni,2.5,pPD864-LacZ_versus_pPD864
yhcO,ceroni,2.5,pPD864-LacZ_versus_pPD864
xylH,ceroni,2.5,pPD864-LacZ_versus_pPD864
yieK,ceroni,2.5,pPD864-LacZ_versus_pPD864
rhaD,ceroni,2.5,pPD864-LacZ_versus_pPD864
rhaA,ceroni,2.5,pPD864-LacZ_versus_pPD864
rhaB,ceroni,2.5,pPD864-LacZ_versus_pPD864
rhaR,ceroni,2.5,pPD864-LacZ_versus_pPD864
rhaT,ceroni,2.5,pPD864-LacZ_versus_pPD864
sbp,ceroni,2.5,pPD864-LacZ_versus_pPD864
nrfE,ceroni,2.5,pPD864-LacZ_versus_pPD864
yjhV,ceroni,2.5,pPD864-LacZ_versus_pPD864
rtcA,ceroni,2.5,pPD864-LacZ_versus_pPD864
ykfH,ceroni,2.5,pPD864-LacZ_versus_pPD864
hicA,ceroni,2.5,pPD864-LacZ_versus_pPD864
ttcC,ceroni,2.5,pPD864-LacZ_versus_pPD864
caiT,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yadM,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yafP,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
perR,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
rclA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
rclR,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yahN,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
prpR,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
lacA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
lacY,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
mhpB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
tauB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
psiF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ybbC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gcl,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
sfmZ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
envY,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
