gene,source,thresholds,comparison
pntB,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
ppc,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
ppsA,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
purT,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
serA,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
serC,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
tcyJ,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
thiC,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
thrA,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
thrB,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
thrC,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
trpA,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
trpB,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
trpE,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
ykgM,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
zinT,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
znuA,wu,2.5,Clim_MOPS_Over_WT_Rich_LB
